frameID,eventType,player1Position,player2Position,ballPosition,speed
799,,"[18.4, 46.0, 0.0]","[-9.86, -50.05, 0.0]",,
800,,"[18.2, 46.0, 0.0]","[-9.65, -50.05, 0.0]",,
801,,"[17.9, 46.0, 0.0]","[-9.54, -50.06, 0.0]",,
802,,"[17.7, 46.0, 0.0]","[-9.33, -50.06, 0.0]",,
803,,"[17.6, 46.0, 0.0]","[-9.33, -50.06, 0.0]",,
804,,"[17.5, 46.0, 0.0]","[-9.22, -50.06, 0.0]",,
805,,"[17.4, 46.0, 0.0]","[-8.91, -50.06, 0.0]",,
806,,"[17.4, 46.0, 0.0]","[-8.8, -50.06, 0.0]",,
807,,"[17.3, 46.0, 0.0]","[-8.59, -50.06, 0.0]",,
808,,"[17.3, 46.0, 0.0]","[-8.48, -50.06, 0.0]",,
809,,"[17.2, 46.0, 0.0]","[-8.38, -50.06, 0.0]",,
810,,"[17.2, 46.0, 0.0]","[-7.95, -50.06, 0.0]",,
811,,"[17.1, 46.0, 0.0]","[-7.85, -50.06, 0.0]",,
812,,"[17.0, 46.0, 0.0]","[-7.84, -51.76, 0.0]",,
813,,"[16.8, 46.0, 0.0]","[-7.84, -51.76, 0.0]",,
814,,"[16.6, 46.0, 0.0]","[-7.73, -51.76, 0.0]",,
815,,"[16.5, 46.0, 0.0]","[-7.73, -51.76, 0.0]",,
816,,"[16.3, 46.0, 0.0]","[-7.74, -50.06, 0.0]",,
817,,"[16.3, 46.0, 0.0]","[-7.85, -50.06, 0.0]",,
818,,"[16.2, 46.1, 0.0]","[-7.74, -50.06, 0.0]",,
819,,"[16.1, 46.1, 0.0]","[-7.73, -51.76, 0.0]",,
820,,"[16.0, 46.1, 0.0]","[-7.63, -50.06, 0.0]",,
821,,"[16.2, 46.1, 0.0]","[-7.63, -50.06, 0.0]",,
822,,"[16.0, 46.1, 0.0]","[-7.74, -50.06, 0.0]",,
823,,"[15.8, 46.1, 0.0]","[-7.74, -50.06, 0.0]",,
824,,"[15.6, 46.1, 0.0]","[-7.63, -50.06, 0.0]",,
825,,"[15.4, 46.1, 0.0]","[-7.63, -50.06, 0.0]",,
826,p1cp,"[15.3, 46.1, 0.0]","[-7.53, -50.06, 0.0]","(16.45, 47.21, 3.24)",
827,,"[15.3, 46.1, 0.0]","[-7.42, -50.06, 0.0]",,
828,,"[15.3, 46.1, 0.0]","[-7.42, -50.06, 0.0]",,
829,,"[15.2, 46.1, 0.0]","[-7.42, -50.06, 0.0]",,
830,,"[15.2, 46.1, 0.0]","[-7.32, -50.06, 0.0]",,
831,,"[15.3, 46.1, 0.0]","[-7.21, -50.06, 0.0]",,
832,,"[15.3, 46.1, 0.0]","[-7.1, -50.06, 0.0]",,
833,,"[15.4, 46.1, 0.0]","[-7.1, -50.06, 0.0]",,
834,,"[15.5, 46.1, 0.0]","[-7.19, -51.76, 0.0]",,
835,,"[15.7, 46.1, 0.0]","[-6.98, -51.76, 0.0]",,
836,,"[15.9, 46.1, 0.0]","[-6.98, -51.76, 0.0]",,
837,,"[16.1, 46.1, 0.0]","[-6.89, -50.06, 0.0]",,
838,,"[16.3, 46.0, 0.0]","[-6.76, -51.76, 0.0]",,
839,,"[16.4, 46.0, 0.0]","[-6.57, -50.07, 0.0]",,
840,,"[16.6, 46.0, 0.0]","[-6.57, -50.07, 0.0]",,
841,,"[16.6, 46.0, 0.0]","[-6.47, -50.07, 0.0]",,
842,,"[16.7, 46.0, 0.0]","[-6.47, -50.07, 0.0]",,
843,,"[16.8, 46.0, 0.0]","[-6.57, -50.07, 0.0]",,
844,,"[16.8, 46.0, 0.0]","[-6.47, -50.07, 0.0]",,
845,,"[16.8, 46.0, 0.0]","[-6.57, -50.07, 0.0]",,
846,,"[16.8, 46.0, 0.0]","[-6.49, -48.42, 0.0]",,
